cluster_id,R_id,smart,dE,adj_fwd
0,46866,[CH3:1][C:2](=[O:3])[NH:4][c:5]1[c:6]([H:8])[cH:9][nH:10][c:11](=[O:12])[n:7]1.[F:13][C:14]([F:15])([F:16])[I:17]>>[CH3:1][C:2](=[O:3])[NH:4][c:5]1[c:6]([C:14]([F:13])([F:15])[F:16])[cH:9][nH:10][c:11](=[O:12])[n:7]1.[H:8][I:17],-14.03,11.83
0,27296,[Br:1][c:2]1[cH:3][cH:5][cH:6][cH:7][c:4]1[I:8].[CH3:9][c:10]1[cH:11][c:13]([CH3:14])[c:15]([N:16]([c:18]2[cH:20][cH:22][cH:23][cH:24][cH:21]2)[H:19])[c:17]([CH3:25])[cH:12]1>>[Br:1][c:2]1[cH:3][cH:5][cH:6][cH:7][c:4]1[N:16]([c:15]1[c:13]([CH3:14])[cH:11][c:10]([CH3:9])[cH:12][c:17]1[CH3:25])[c:18]1[cH:20][cH:22][cH:23][cH:24][cH:21]1.[I:8][H:19],-21.08,12.06
0,15342,[CH2:1]1[CH2:2][O:4][CH2:5][CH2:6][N:3]1[H:7].[F:8][c:9]1[n:10][cH:12][cH:13][cH:14][c:11]1[I:15]>>[CH2:1]1[CH2:2][O:4][CH2:5][CH2:6][N:3]1[c:11]1[c:9]([F:8])[n:10][cH:12][cH:13][cH:14]1.[H:7][I:15],-27.44,12.45
0,39272,[C:1](#[C:2][c:4]1[cH:5][cH:7][c:8]([Br:9])[cH:10][cH:6]1)[H:3].[CH3:11][CH:12]1[CH2:13][CH:15]([c:16]2[n:18][cH:20][c:21]([I:22])[nH:19]2)[N:17]([C:23](=[O:24])[O:25][C:26]([CH3:27])([CH3:28])[CH3:29])[CH2:14]1>>[C:1](#[C:2][c:4]1[cH:5][cH:7][c:8]([Br:9])[cH:10][cH:6]1)[c:21]1[nH:19][c:16]([CH:15]2[CH2:13][CH:12]([CH3:11])[CH2:14][N:17]2[C:23](=[O:24])[O:25][C:26]([CH3:27])([CH3:28])[CH3:29])[n:18][cH:20]1.[H:3][I:22],-22.73,12.51
0,49183,[CH3:1][CH:2]([CH3:3])[c:4]1[n:5][n:7]([CH2:8][c:10]2[cH:11][cH:13][cH:14][cH:15][cH:12]2)[cH:9][c:6]1[I:16].[CH:17](=[CH:18][C:20](=[O:21])[O:22][CH3:23])[H:19]>>[CH3:1][CH:2]([CH3:3])[c:4]1[n:5][n:7]([CH2:8][c:10]2[cH:11][cH:13][cH:14][cH:15][cH:12]2)[cH:9][c:6]1[CH:17]=[CH:18][C:20](=[O:21])[O:22][CH3:23].[I:16][H:19],-9.59,12.92
0,12961,[C:1](#[C:2][c:4]1[c:5](-[c:7]2[cH:9][cH:11][cH:12][cH:13][cH:10]2)[n:8][o:14][c:6]1[CH3:15])[H:3].[CH3:16][c:17]1[cH:18][nH:20][n:21][c:19]1[I:22]>>[C:1](#[C:2][c:4]1[c:5](-[c:7]2[cH:9][cH:11][cH:12][cH:13][cH:10]2)[n:8][o:14][c:6]1[CH3:15])[c:19]1[c:17]([CH3:16])[cH:18][nH:20][n:21]1.[H:3][I:22],-19.02,12.99
0,44684,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][C:11]2([CH2:10]1)[CH2:12][N:14]([H:15])[CH2:13]2.[F:16][c:17]1[cH:18][cH:20][c:21]([Cl:22])[c:23]([I:24])[cH:19]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][C:11]2([CH2:10]1)[CH2:12][N:14]([c:23]1[cH:19][c:17]([F:16])[cH:18][cH:20][c:21]1[Cl:22])[CH2:13]2.[H:15][I:24],-19.51,13.39
0,49575,[CH3:1][CH2:2][I:3].[CH3:4][CH2:5][NH:6][C:7]1([C:8]([NH2:11])=[O:12])[CH2:9][N:13]([c:14]2[n:15][c:17](-[c:18]3[cH:20][cH:22][c:23]([Cl:24])[cH:25][cH:21]3)[c:19](-[c:26]3[cH:28][cH:30][c:31]([Cl:32])[cH:33][cH:29]3)[c:27]3[n:16]2[c:37](=[O:38])[n:35]([H:36])[n:34]3)[CH2:10]1>>[CH3:1][CH2:2][n:35]1[n:34][c:27]2[n:16]([c:14]([N:13]3[CH2:9][C:7]([NH:6][CH2:5][CH3:4])([C:8]([NH2:11])=[O:12])[CH2:10]3)[n:15][c:17](-[c:18]3[cH:20][cH:22][c:23]([Cl:24])[cH:25][cH:21]3)[c:19]2-[c:26]2[cH:28][cH:30][c:31]([Cl:32])[cH:33][cH:29]2)[c:37]1=[O:38].[I:3][H:36],-17.86,13.55
0,26264_rev,[CH3:1][CH2:2][CH2:3][n:16]1[cH:10][c:7](-[c:9]2[cH:11][cH:13][cH:14][cH:15][cH:12]2)[c:6](=[O:5])[c:8](-[c:19]2[cH:20][cH:22][cH:23][cH:24][cH:21]2)[n:18]1.[I:4][H:17]>>[CH3:1][CH2:2][CH2:3][I:4].[O:5]=[c:6]1[c:7](-[c:9]2[cH:11][cH:13][cH:14][cH:15][cH:12]2)[cH:10][n:16]([H:17])[n:18][c:8]1-[c:19]1[cH:20][cH:22][cH:23][cH:24][cH:21]1,62.0,14.0
0,4451,[CH3:1][N:2]1[CH2:3][CH2:5][N:6]([H:7])[C:4]1=[O:8].[CH3:9][n:10]1[cH:11][cH:13][c:14]([I:15])[n:12]1>>[CH3:1][N:2]1[CH2:3][CH2:5][N:6]([c:14]2[n:12][n:10]([CH3:9])[cH:11][cH:13]2)[C:4]1=[O:8].[H:7][I:15],-13.73,14.24
0,19936,[C:1](#[C:2][c:4]1[cH:5][cH:7][c:8]([F:9])[cH:10][cH:6]1)[H:3].[CH3:11][c:12]1[cH:13][c:15]([O:16][S:18](=[O:19])(=[O:20])[C:21]([F:22])([F:23])[F:24])[c:17]([Br:25])[c:26](=[O:27])[n:14]1[CH2:28][c:29]1[cH:30][cH:32][cH:33][n:34][cH:31]1>>[C:1](#[C:2][c:4]1[cH:5][cH:7][c:8]([F:9])[cH:10][cH:6]1)[c:15]1[cH:13][c:12]([CH3:11])[n:14]([CH2:28][c:29]2[cH:30][cH:32][cH:33][n:34][cH:31]2)[c:26](=[O:27])[c:17]1[Br:25].[H:3][O:16][S:18](=[O:19])(=[O:20])[C:21]([F:22])([F:23])[F:24],-14.04,14.48
0,41216,[F:1][c:2]1[cH:3][c:5]([Cl:6])[cH:7][cH:8][c:4]1[I:9].[O:10]=[CH:11][c:12]1[cH:13][n:15]([H:16])[cH:17][n:14]1>>[F:1][c:2]1[cH:3][c:5]([Cl:6])[cH:7][cH:8][c:4]1-[n:15]1[cH:13][c:12]([CH:11]=[O:10])[n:14][cH:17]1.[I:9][H:16],-19.91,14.58
0,22782,[C:1](#[C:2][c:4]1[cH:5][cH:7][cH:8][cH:9][c:6]1[CH:10]([CH2:11][CH3:13])[C:12]([NH2:14])=[O:15])[H:3].[CH3:16][C:17]([CH3:18])([CH3:19])[O:20][C:21](=[O:22])[N:23]1[CH2:24][CH2:26][CH:27]([c:28]2[cH:30][cH:32][c:33]([NH:34][c:36]3[n:37][cH:39][c:40]([C:41]([F:43])([F:44])[F:45])[c:42]([Cl:46])[n:38]3)[cH:35][cH:31]2)[CH2:29][CH2:25]1>>[C:1](#[C:2][c:4]1[cH:5][cH:7][cH:8][cH:9][c:6]1[CH:10]([CH2:11][CH3:13])[C:12]([NH2:14])=[O:15])[c:42]1[n:38][c:36]([NH:34][c:33]2[cH:32][cH:30][c:28]([CH:27]3[CH2:26][CH2:24][N:23]([C:21]([O:20][C:17]([CH3:16])([CH3:18])[CH3:19])=[O:22])[CH2:25][CH2:29]3)[cH:31][cH:35]2)[n:37][cH:39][c:40]1[C:41]([F:43])([F:44])[F:45].[H:3][Cl:46],0.0,14.78
0,22782_rev,[C:1](#[C:2][c:4]1[cH:5][cH:7][cH:8][cH:9][c:6]1[CH:10]([CH2:11][CH3:13])[C:12]([NH2:14])=[O:15])[c:42]1[n:38][c:36]([NH:34][c:33]2[cH:32][cH:30][c:28]([CH:27]3[CH2:26][CH2:24][N:23]([C:21]([O:20][C:17]([CH3:16])([CH3:18])[CH3:19])=[O:22])[CH2:25][CH2:29]3)[cH:31][cH:35]2)[n:37][cH:39][c:40]1[C:41]([F:43])([F:44])[F:45].[H:3][Cl:46]>>[C:1](#[C:2][c:4]1[cH:5][cH:7][cH:8][cH:9][c:6]1[CH:10]([CH2:11][CH3:13])[C:12]([NH2:14])=[O:15])[H:3].[CH3:16][C:17]([CH3:18])([CH3:19])[O:20][C:21](=[O:22])[N:23]1[CH2:24][CH2:26][CH:27]([c:28]2[cH:30][cH:32][c:33]([NH:34][c:36]3[n:37][cH:39][c:40]([C:41]([F:43])([F:44])[F:45])[c:42]([Cl:46])[n:38]3)[cH:35][cH:31]2)[CH2:29][CH2:25]1,0.0,14.78
0,38671,[CH3:1][O:2][C:3](=[O:4])[c:5]1[n:6][c:8]([CH3:9])[cH:10][cH:11][c:7]1[I:12].[cH:13]1[n:14][cH:16][n:17]([H:18])[n:15]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[n:6][c:8]([CH3:9])[cH:10][cH:11][c:7]1-[n:17]1[n:15][cH:13][n:14][cH:16]1.[I:12][H:18],-72.7,14.93
0,10821,[C:1](#[C:2][c:4]1[cH:5][cH:7][cH:8][c:9]([NH:10][C:11](=[O:12])[NH:13][c:14]2[cH:15][c:17]([C:18]([CH3:20])([CH3:21])[CH3:22])[o:19][n:16]2)[cH:6]1)[H:3].[I:23][c:24]1[cH:25][n:27][nH:28][cH:26]1>>[C:1](#[C:2][c:4]1[cH:5][cH:7][cH:8][c:9]([NH:10][C:11](=[O:12])[NH:13][c:14]2[cH:15][c:17]([C:18]([CH3:20])([CH3:21])[CH3:22])[o:19][n:16]2)[cH:6]1)[c:24]1[cH:25][n:27][nH:28][cH:26]1.[H:3][I:23],-26.91,15.13
0,36888,[CH3:1][c:2]1[cH:3][cH:5][c:6]([S:7][H:9])[c:8]([CH3:10])[cH:4]1.[F:11][C:12]([F:13])([F:14])[c:15]1[cH:16][cH:18][c:19]([I:20])[c:21]([Br:22])[cH:17]1>>[CH3:1][c:2]1[cH:3][cH:5][c:6]([S:7][c:19]2[cH:18][cH:16][c:15]([C:12]([F:11])([F:13])[F:14])[cH:17][c:21]2[Br:22])[c:8]([CH3:10])[cH:4]1.[H:9][I:20],-9.75,15.31
0,12247,[CH3:10][NH:11][C:12](=[O:13])[c:14]1[cH:15][cH:17][cH:18][cH:19][c:16]1[NH:20][H:21].[CH3:1][c:2]1[cH:3][n:5][c:6]([F:7])[cH:8][c:4]1[I:9]>>[CH3:1][c:2]1[cH:3][n:5][c:6]([F:7])[cH:8][c:4]1[NH:20][c:16]1[c:14]([C:12]([NH:11][CH3:10])=[O:13])[cH:15][cH:17][cH:18][cH:19]1.[I:9][H:21],-34.42,15.63
0,5298,[C:1](#[C:2][c:4]1[cH:5][cH:7][n:8][c:9]([S:10][CH3:11])[n:6]1)[H:3].[F:12][c:13]1[cH:14][c:16]([I:17])[cH:18][cH:19][n:15]1>>[C:1](#[C:2][c:4]1[cH:5][cH:7][n:8][c:9]([S:10][CH3:11])[n:6]1)[c:16]1[cH:14][c:13]([F:12])[n:15][cH:19][cH:18]1.[H:3][I:17],-9.42,16.48
0,48198,[F:1][CH2:2][CH2:3][I:4].[O:5]=[C:6]1[N:7]([H:9])[c:10]2[cH:11][cH:13][cH:14][cH:15][c:12]2[C:8]1=[O:16]>>[F:1][CH2:2][CH2:3][N:7]1[C:6](=[O:5])[C:8](=[O:16])[c:12]2[c:10]1[cH:11][cH:13][cH:14][cH:15]2.[I:4][H:9],-12.45,17.22
0,45081,[C:1](#[C:2][C:4]([CH3:5])([CH3:6])[OH:7])[H:3].[NH2:8][C:9](=[O:10])[c:11]1[n:12][c:14]2[c:15]([n:13]1[CH:18]([F:19])[F:20])[CH:17]1[CH2:21][CH:23]([CH2:22]1)[c:24]1[c:16]-2[cH:30][c:28]([I:29])[c:26]([F:27])[cH:25]1>>[C:1](#[C:2][C:4]([CH3:5])([CH3:6])[OH:7])[c:28]1[c:26]([F:27])[cH:25][c:24]2[c:16]([cH:30]1)-[c:14]1[n:12][c:11]([C:9]([NH2:8])=[O:10])[n:13]([CH:18]([F:19])[F:20])[c:15]1[CH:17]1[CH2:21][CH:23]2[CH2:22]1.[H:3][I:29],-50.07,17.49
0,4907,[C:1](#[C:2][c:4]1[cH:5][cH:7][c:8]([Cl:9])[n:10][c:6]1[CH3:11])[H:3].[CH3:12][C:13]([CH3:14])=[O:15]>>[C:1](#[C:2][c:4]1[cH:5][cH:7][c:8]([Cl:9])[n:10][c:6]1[CH3:11])[C:13]([CH3:12])([CH3:14])[O:15][H:3],-16.63,17.88
0,35444,[CH3:1][O:2][c:3]1[cH:4][c:6]([N+:7](=[O:9])[O-:10])[cH:8][cH:11][c:5]1[I:12].[Na:13][CH2:14][S:15][H:16]>>[CH3:1][O:2][c:3]1[cH:4][c:6]([N+:7](=[O:9])[O-:10])[cH:8][cH:11][c:5]1[S:15][CH2:14][H:16].[I:12][Na:13],-69.98,18.23
0,41925,[Cl:1][c:2]1[cH:3][cH:5][c:6]2[n:7]([H:9])[n:10][c:11]([I:12])[c:8]2[cH:4]1.[F:13][C:14]([F:15])([F:16])[CH2:17][CH2:18][I:19]>>[Cl:1][c:2]1[cH:3][cH:5][c:6]2[n:7]([CH2:18][CH2:17][C:14]([F:13])([F:15])[F:16])[n:10][c:11]([I:12])[c:8]2[cH:4]1.[H:9][I:19],-16.37,18.78
0,13406,[C:1](#[C:2][c:4]1[cH:5][cH:7][cH:8][cH:9][c:6]1[C:10]([F:11])([F:12])[F:13])[H:3].[Cl:14][c:15]1[cH:16][c:18]([O:19][CH2:21][c:22]2[cH:23][cH:25][cH:26][cH:27][cH:24]2)[c:20]([O:28][CH2:30][c:31]2[cH:32][cH:34][cH:35][cH:36][cH:33]2)[n:29][n:17]1>>[C:1](#[C:2][c:4]1[cH:5][cH:7][cH:8][cH:9][c:6]1[C:10]([F:11])([F:12])[F:13])[c:15]1[cH:16][c:18]([O:19][CH2:21][c:22]2[cH:23][cH:25][cH:26][cH:27][cH:24]2)[c:20]([O:28][CH2:30][c:31]2[cH:32][cH:34][cH:35][cH:36][cH:33]2)[n:29][n:17]1.[H:3][Cl:14],-137.33,19.38
0,35699,[Cl:1][c:2]1[cH:3][cH:5][cH:6][cH:7][c:4]1[I:8].[Cl:9][c:10]1[cH:11][cH:13][c:14]2[cH:15][cH:17][n:18]([H:19])[c:16]2[cH:12]1>>[Cl:1][c:2]1[cH:3][cH:5][cH:6][cH:7][c:4]1-[n:18]1[c:16]2[cH:12][c:10]([Cl:9])[cH:11][cH:13][c:14]2[cH:15][cH:17]1.[I:8][H:19],-1.84,19.71
0,45360,[C:1](#[C:2][Si:4]([CH3:5])([CH3:6])[CH3:7])[H:3].[CH3:8][C:9](=[O:10])[c:11]1[cH:12][c:14]([I:15])[c:16]([OH:17])[c:18]([Cl:19])[n:13]1>>[C:1](#[C:2][Si:4]([CH3:5])([CH3:6])[CH3:7])[c:14]1[cH:12][c:11]([C:9]([CH3:8])=[O:10])[n:13][c:18]([Cl:19])[c:16]1[OH:17].[H:3][I:15],-20.43,20.65
0,12036,[CH3:1][O:2][CH2:3][CH2:4][CH2:5][O:6][c:7]1[cH:8][cH:10][cH:11][cH:12][c:9]1[I:13].[cH:14]1[cH:15][cH:17][c:18]2[n:19]([H:21])[cH:22][cH:23][c:20]2[cH:16]1>>[CH3:1][O:2][CH2:3][CH2:4][CH2:5][O:6][c:7]1[cH:8][cH:10][cH:11][cH:12][c:9]1-[n:19]1[c:18]2[cH:17][cH:15][cH:14][cH:16][c:20]2[cH:23][cH:22]1.[I:13][H:21],-31.34,20.7
0,39627,[C:1](#[C:2][CH2:4][OH:5])[H:3].[CH3:6][O:7][C:8](=[O:9])[c:10]1[cH:11][cH:13][cH:14][cH:15][c:12]1[I:16]>>[C:1](#[C:2][CH2:4][OH:5])[c:12]1[c:10]([C:8]([O:7][CH3:6])=[O:9])[cH:11][cH:13][cH:14][cH:15]1.[H:3][I:16],-24.54,20.75
0,23780,[CH3:1][C:2](=[O:3])[c:4]1[cH:5][n:7]([H:8])[c:9]2[c:6]1[cH:13][cH:12][cH:11][n:10]2.[Cl:14][CH2:15][CH2:16][CH2:17][I:18]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][n:7]([CH2:17][CH2:16][CH2:15][Cl:14])[c:9]2[c:6]1[cH:13][cH:12][cH:11][n:10]2.[H:8][I:18],-18.8,20.77
0,18745,[Br:1][c:2]1[cH:3][cH:5][n:6]2[n:7][cH:9][c:10]([I:11])[c:8]2[cH:4]1.[C:12](#[C:13][CH2:15][OH:16])[H:14]>>[Br:1][c:2]1[cH:3][cH:5][n:6]2[n:7][cH:9][c:10]([C:12]#[C:13][CH2:15][OH:16])[c:8]2[cH:4]1.[I:11][H:14],-39.48,21.17
0,35699_rev,[Cl:1][c:2]1[cH:3][cH:5][cH:6][cH:7][c:4]1-[n:18]1[c:16]2[cH:12][c:10]([Cl:9])[cH:11][cH:13][c:14]2[cH:15][cH:17]1.[I:8][H:19]>>[Cl:1][c:2]1[cH:3][cH:5][cH:6][cH:7][c:4]1[I:8].[Cl:9][c:10]1[cH:11][cH:13][c:14]2[cH:15][cH:17][n:18]([H:19])[c:16]2[cH:12]1,-1.84,21.55
0,37487,[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH:6]1[CH2:7][N:9]([c:10]2[cH:12][cH:14][c:15]([I:16])[c:17]([F:18])[cH:13]2)[C:11](=[O:19])[O:8]1.[H:20][H:21]>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH:6]1[CH2:7][N:9]([c:10]2[cH:12][cH:14][c:15]([H:21])[c:17]([F:18])[cH:13]2)[C:11](=[O:19])[O:8]1.[I:16][H:20],-27.9,21.62
0,48033,[F:1][C:2]([F:3])([F:4])[I:5].[O:6]=[c:7]1[c:8]([H:10])[cH:11][nH:12][c:13](=[O:14])[nH:9]1>>[F:1][C:2]([F:3])([F:4])[c:8]1[c:7](=[O:6])[nH:9][c:13](=[O:14])[nH:12][cH:11]1.[I:5][H:10],13.7,21.76
0,35636,[C:1](#[C:2][CH2:4][OH:5])[H:3].[CH3:6][O:7][C:8](=[O:9])[c:10]1[cH:11][cH:13][cH:14][cH:15][c:12]1[I:16]>>[C:1](#[C:2][CH2:4][OH:5])[c:12]1[c:10]([C:8]([O:7][CH3:6])=[O:9])[cH:11][cH:13][cH:14][cH:15]1.[H:3][I:16],-24.53,21.82
0,44493,[Br:1][c:2]1[cH:3][cH:5][cH:6][c:7]([I:8])[cH:4]1.[C:9](#[C:10][c:12]1[cH:13][cH:15][cH:16][cH:17][cH:14]1)[H:11]>>[Br:1][c:2]1[cH:3][cH:5][cH:6][c:7]([C:9]#[C:10][c:12]2[cH:13][cH:15][cH:16][cH:17][cH:14]2)[cH:4]1.[I:8][H:11],-22.8,21.87
0,20067,[CH3:1][CH:2]([CH3:3])[I:4].[CH3:5][CH2:6][O:7][C:8](=[O:9])[c:10]1[n:11][c:13]2[cH:14][cH:16][s:17][c:15]2[n:18][c:12]1[NH:19][H:20]>>[CH3:1][CH:2]([CH3:3])[NH:19][c:12]1[c:10]([C:8]([O:7][CH2:6][CH3:5])=[O:9])[n:11][c:13]2[cH:14][cH:16][s:17][c:15]2[n:18]1.[I:4][H:20],-9.81,21.87
0,35319_rev,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:8][c:9]([Cl:10])[cH:11][c:7]1[NH:13][c:14]1[cH:16][cH:18][c:19]([Br:20])[cH:21][c:17]1[N+:22](=[O:23])[O-:24].[I:12][H:15]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:8][c:9]([Cl:10])[cH:11][c:7]1[I:12].[NH:13]([c:14]1[cH:16][cH:18][c:19]([Br:20])[cH:21][c:17]1[N+:22](=[O:23])[O-:24])[H:15],6.6,21.97
0,9761,[CH3:1][CH2:2][CH2:3][I:4].[CH3:5][C:6](=[O:7])[c:8]1[cH:9][cH:11][cH:12][c:13]([N:14]2[CH2:15][CH:17]([CH3:18])[N:19]([H:20])[CH:21]([CH3:22])[CH2:16]2)[cH:10]1>>[CH3:1][CH2:2][CH2:3][N:19]1[CH:17]([CH3:18])[CH2:15][N:14]([c:13]2[cH:10][c:8]([C:6]([CH3:5])=[O:7])[cH:9][cH:11][cH:12]2)[CH2:16][CH:21]1[CH3:22].[I:4][H:20],-9.42,22.06
0,49183_rev,[CH3:1][CH:2]([CH3:3])[c:4]1[n:5][n:7]([CH2:8][c:10]2[cH:11][cH:13][cH:14][cH:15][cH:12]2)[cH:9][c:6]1[CH:17]=[CH:18][C:20](=[O:21])[O:22][CH3:23].[I:16][H:19]>>[CH3:1][CH:2]([CH3:3])[c:4]1[n:5][n:7]([CH2:8][c:10]2[cH:11][cH:13][cH:14][cH:15][cH:12]2)[cH:9][c:6]1[I:16].[CH:17](=[CH:18][C:20](=[O:21])[O:22][CH3:23])[H:19],-9.59,22.51
