cluster_id,R_id,smart,dE,raw_fwd,raw_bwd,adj_fwd,adj_bwd,note
46,38293,[CH3:1][c:2]1[nH:3][c:5]([CH:6]=[O:8])[c:7]([CH3:9])[c:4]1[C:10](=[O:11])[N:12]1[CH2:13][CH2:15][N:16]([CH3:17])[CH2:18][CH2:14]1.[O:19]=[C:20]1[C:21]([H:23])([H:24])[c:25]2[c:26]([cH:28][cH:29][cH:30][c:27]2-[c:31]2[cH:32][cH:34][cH:35][c:36]([C:37]([F:38])([F:39])[F:40])[cH:33]2)[NH:22]1>>[CH3:1][c:2]1[nH:3][c:5]([CH:6]=[C:21]2[C:20](=[O:19])[NH:22][c:26]3[c:25]2[c:27](-[c:31]2[cH:32][cH:34][cH:35][c:36]([C:37]([F:38])([F:39])[F:40])[cH:33]2)[cH:30][cH:29][cH:28]3)[c:7]([CH3:9])[c:4]1[C:10](=[O:11])[N:12]1[CH2:13][CH2:15][N:16]([CH3:17])[CH2:18][CH2:14]1.[O:8]([H:23])[H:24],-26.22,405.03,402.78,405.03,431.25,Success
52,27425,[CH3:1][O:2][c:3]1[cH:4][cH:6][c:7]2[c:8]([cH:5]1)[CH:10]=[C:11]([c:12]1[o:14][cH:16][n:17][c:15]1[C:18](=[O:19])[N:20]1[CH2:21][CH2:23][O:24][CH2:25][CH2:22]1)[CH2:13][n:26]1[c:9]-2[c:28]([CH:29]2[CH2:31][CH2:33][CH2:34][CH2:35][CH2:32]2)[c:30]2[c:27]1[cH:40][c:38]([C:39](=[O:41])[OH:42])[cH:37][cH:36]2.[NH:43]([S:44](=[O:46])(=[O:47])[CH:48]1[CH2:49][CH2:50]1)[H:45]>>[CH3:1][O:2][c:3]1[cH:4][cH:6][c:7]2[c:8]([cH:5]1)[CH:10]=[C:11]([c:12]1[o:14][cH:16][n:17][c:15]1[C:18](=[O:19])[N:20]1[CH2:21][CH2:23][O:24][CH2:25][CH2:22]1)[CH2:13][n:26]1[c:9]-2[c:28]([CH:29]2[CH2:31][CH2:33][CH2:34][CH2:35][CH2:32]2)[c:30]2[c:27]1[cH:40][c:38]([C:39](=[O:41])[NH:43][S:44](=[O:46])(=[O:47])[CH:48]1[CH2:49][CH2:50]1)[cH:37][cH:36]2.[OH:42][H:45],-14.64,0.00,0.00,0.00,14.64,Success
59,15890,[NH:1]([CH:2]1[CH2:4][CH2:6][CH:7]([O:8][c:10]2[cH:11][cH:13][c:14]([Cl:15])[cH:16][cH:12]2)[CH2:9][CH2:5]1)[H:3].[O:17]=[C:18]([OH:19])[CH2:20][CH2:21][CH2:22][c:23]1[n:24][c:26]2[cH:27][cH:29][cH:30][cH:31][c:28]2[c:32](=[O:33])[nH:25]1>>[H:3][OH:19].[NH:1]([CH:2]1[CH2:4][CH2:6][CH:7]([O:8][c:10]2[cH:11][cH:13][c:14]([Cl:15])[cH:16][cH:12]2)[CH2:9][CH2:5]1)[C:18](=[O:17])[CH2:20][CH2:21][CH2:22][c:23]1[n:24][c:26]2[cH:27][cH:29][cH:30][cH:31][c:28]2[c:32](=[O:33])[nH:25]1,-1.05,0.00,0.00,0.00,1.05,Success
57,44230,[CH3:10][O:11][c:12]1[cH:13][c:15]([O:16][CH3:18])[n:17][c:19](-[n:20]2[c:21](=[S:23])[nH:24][c:25]3[cH:26][c:28]([C:29](=[O:31])[OH:32])[cH:30][cH:33][c:27]3[c:22]2=[O:34])[n:14]1.[CH3:1][N:2]1[CH2:3][CH2:5][CH:6]([NH:7][H:9])[CH2:8][CH2:4]1>>[CH3:1][N:2]1[CH2:3][CH2:5][CH:6]([NH:7][C:29]([c:28]2[cH:26][c:25]3[nH:24][c:21](=[S:23])[n:20](-[c:19]4[n:14][c:12]([O:11][CH3:10])[cH:13][c:15]([O:16][CH3:18])[n:17]4)[c:22](=[O:34])[c:27]3[cH:33][cH:30]2)=[O:31])[CH2:8][CH2:4]1.[H:9][OH:32],-11.70,174.42,214.57,174.42,186.12,Success
42,17678,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:11][c:12]2[cH:13][n:15](-[c:16]3[cH:18][cH:20][c:21]([C:22](=[O:24])[OH:25])[cH:23][cH:19]3)[n:17][c:14]2[CH2:26][CH2:10]1.[CH3:27][N:28]([CH3:29])[H:30]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:11][c:12]2[cH:13][n:15](-[c:16]3[cH:18][cH:20][c:21]([C:22](=[O:24])[N:28]([CH3:27])[CH3:29])[cH:23][cH:19]3)[n:17][c:14]2[CH2:26][CH2:10]1.[OH:25][H:30],-4.86,52.47,27.70,52.47,57.33,Success
53,44494,[CH3:1][O:2][C:3](=[O:4])[CH:5]([NH:6][H:8])[CH2:7][c:9]1[cH:10][cH:12][c:13](-[c:14]2[cH:16][cH:18][c:19]([O:20][c:22]3[cH:23][cH:25][cH:26][cH:27][cH:24]3)[cH:21][cH:17]2)[cH:15][cH:11]1.[NH2:28][c:29]1[cH:30][cH:32][c:33]([Cl:34])[cH:35][c:31]1[C:36](=[O:37])[OH:38]>>[CH3:1][O:2][C:3](=[O:4])[CH:5]([NH:6][C:36]([c:31]1[c:29]([NH2:28])[cH:30][cH:32][c:33]([Cl:34])[cH:35]1)=[O:37])[CH2:7][c:9]1[cH:10][cH:12][c:13](-[c:14]2[cH:16][cH:18][c:19]([O:20][c:22]3[cH:23][cH:25][cH:26][cH:27][cH:24]3)[cH:21][cH:17]2)[cH:15][cH:11]1.[H:8][OH:38],-9.21,345.31,309.29,345.31,354.52,Success
58,15427,[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][c:8]([O:9][CH2:11][CH2:12][CH2:13][O:14][CH:15]2[CH2:16][CH2:18][CH2:19][CH2:20][O:17]2)[cH:10][c:21]([C:22](=[O:23])[OH:24])[cH:7]1.[CH3:25][N:26]([O:27][CH3:29])[H:28]>>[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][c:8]([O:9][CH2:11][CH2:12][CH2:13][O:14][CH:15]2[CH2:16][CH2:18][CH2:19][CH2:20][O:17]2)[cH:10][c:21]([C:22](=[O:23])[N:26]([CH3:25])[O:27][CH3:29])[cH:7]1.[OH:24][H:28],0.49,424.06,309.00,309.49,309.00,Success
56,47618,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH:9]2[CH2:11][CH:12]2[CH2:13][CH:10]1[C:14](=[O:15])[OH:16].[NH:17]([c:18]1[cH:20][cH:22][cH:23][c:24]([O:25][CH:26]([F:27])[F:28])[n:21]1)[H:19]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH:9]2[CH2:11][CH:12]2[CH2:13][CH:10]1[C:14](=[O:15])[NH:17][c:18]1[cH:20][cH:22][cH:23][c:24]([O:25][CH:26]([F:27])[F:28])[n:21]1.[OH:16][H:19],-0.40,16.35,26.29,16.35,16.75,Success
47,2751,[CH3:1][CH2:2][CH:3]([CH3:4])[c:5]1[cH:6][cH:8][c:9]([NH:10][H:12])[cH:11][cH:7]1.[N:13]#[C:14][CH:15]1[CH2:16][CH:18]([F:19])[CH2:20][N:17]1[C:21](=[O:22])[CH2:23][NH:24][C:25]12[CH2:26][CH2:29][C:30]([C:31](=[O:34])[OH:35])([CH2:32][CH2:27]1)[CH2:33][CH2:28]2>>[CH3:1][CH2:2][CH:3]([CH3:4])[c:5]1[cH:6][cH:8][c:9]([NH:10][C:31]([C:30]23[CH2:29][CH2:26][C:25]([NH:24][CH2:23][C:21]([N:17]4[CH:15]([C:14]#[N:13])[CH2:16][CH:18]([F:19])[CH2:20]4)=[O:22])([CH2:27][CH2:32]2)[CH2:28][CH2:33]3)=[O:34])[cH:11][cH:7]1.[H:12][OH:35],-8.48,28.86,30.39,28.86,37.34,Success
61,31505,[NH:1]([c:2]1[cH:4][cH:6][c:7]([F:8])[cH:9][cH:5]1)[H:3].[O:10]=[C:11]([OH:12])[CH2:13][c:14]1[cH:15][cH:17][cH:18][c:19]([OH:20])[cH:16]1>>[H:3][OH:12].[NH:1]([c:2]1[cH:4][cH:6][c:7]([F:8])[cH:9][cH:5]1)[C:11](=[O:10])[CH2:13][c:14]1[cH:15][cH:17][cH:18][c:19]([OH:20])[cH:16]1,-81.37,30.90,34.97,30.90,112.27,Success
63,13248,[NH:1]([n:2]1[n:4][c:6]([N:7]2[CH2:9][CH2:11][O:12][CH2:13][CH2:10]2)[c:8]2[cH:14][cH:16][cH:17][cH:18][c:15]2[c:5]1=[O:19])[H:3].[O:20]=[C:21]([OH:22])[CH2:23][c:24]1[cH:25][cH:27][cH:28][c:29]([O:30][c:31]2[cH:32][cH:34][cH:35][cH:36][cH:33]2)[cH:26]1>>[H:3][OH:22].[NH:1]([n:2]1[n:4][c:6]([N:7]2[CH2:9][CH2:11][O:12][CH2:13][CH2:10]2)[c:8]2[cH:14][cH:16][cH:17][cH:18][c:15]2[c:5]1=[O:19])[C:21](=[O:20])[CH2:23][c:24]1[cH:25][cH:27][cH:28][c:29]([O:30][c:31]2[cH:32][cH:34][cH:35][cH:36][cH:33]2)[cH:26]1,-56.19,0.00,0.00,0.00,56.19,Success
60,38479,[NH:1]([c:2]1[cH:4][cH:6][cH:7][cH:8][c:5]1[NH2:9])[H:3].[O:10]=[C:11]([OH:12])[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][NH:20][C:21](=[O:22])[c:23]1[cH:24][cH:26][cH:27][c:28]([CH:29]=[C:30]2[C:31](=[O:33])[NH:34][c:35]3[c:32]2[cH:40][c:38]([F:39])[cH:37][cH:36]3)[cH:25]1>>[H:3][OH:12].[NH:1]([c:2]1[cH:4][cH:6][cH:7][cH:8][c:5]1[NH2:9])[C:11](=[O:10])[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][NH:20][C:21](=[O:22])[c:23]1[cH:24][cH:26][cH:27][c:28]([CH:29]=[C:30]2[C:31](=[O:33])[NH:34][c:35]3[c:32]2[cH:40][c:38]([F:39])[cH:37][cH:36]3)[cH:25]1,-11.40,0.00,0.00,0.00,11.40,Success
65,1562,[CH3:1][CH2:2][CH2:3][C:4](=[O:5])[O:6][CH:7]([CH3:8])[c:9]1[n:10][cH:12][cH:13][c:14]([N:15]2[CH2:16][CH2:18][c:19]3[c:20]([n:22][c:23]([CH3:24])[n:25][c:21]3-[c:26]3[cH:27][cH:29][cH:30][cH:31][cH:28]3)[CH2:17]2)[n:11]1.[OH:32][H:33]>>[CH3:1][CH2:2][CH2:3][C:4](=[O:5])[OH:32].[O:6]([CH:7]([CH3:8])[c:9]1[n:10][cH:12][cH:13][c:14]([N:15]2[CH2:16][CH2:18][c:19]3[c:20]([n:22][c:23]([CH3:24])[n:25][c:21]3-[c:26]3[cH:27][cH:29][cH:30][cH:31][cH:28]3)[CH2:17]2)[n:11]1)[H:33],-1.14,0.00,0.00,0.00,1.14,Success
62,25082,[CH3:1][O:2][c:3]1[cH:4][cH:6][c:7]([CH2:8][CH2:10][NH:11][H:12])[cH:9][c:5]1[NH:13][S:14]([CH3:15])(=[O:16])=[O:17].[O:18]=[C:19]([OH:20])[CH2:21][CH2:22][CH2:23][CH2:24][C:25](=[O:26])[NH:27][CH2:28][CH2:29][c:30]1[cH:31][cH:33][cH:34][cH:35][cH:32]1>>[CH3:1][O:2][c:3]1[cH:4][cH:6][c:7]([CH2:8][CH2:10][NH:11][C:19](=[O:18])[CH2:21][CH2:22][CH2:23][CH2:24][C:25](=[O:26])[NH:27][CH2:28][CH2:29][c:30]2[cH:31][cH:33][cH:34][cH:35][cH:32]2)[cH:9][c:5]1[NH:13][S:14]([CH3:15])(=[O:16])=[O:17].[H:12][OH:20],-10.95,0.00,0.00,0.00,10.95,Success
72,24095,[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:9][c:10]([CH:11]2[CH2:13][CH2:15][C:16]3([CH2:17][CH2:14]2)[O:18][CH2:20][CH2:21][O:19]3)[cH:12][cH:8]1.[H:22][H:23].[H:24][H:25].[OH2:26]>>[C:4]([O:5][H:24])([c:6]1[cH:7][cH:9][c:10]([CH:11]2[CH2:13][CH2:15][C:16]3([CH2:17][CH2:14]2)[O:18][CH2:20][CH2:21][O:19]3)[cH:12][cH:8]1)([H:22])[H:23].[CH3:1][CH2:2][O:3][H:25].[OH2:26],-2.14,0.00,0.00,0.00,2.14,Success
68,44738,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:11][CH2:12][CH:13]([O:14][C:15]([NH2:16])=[O:17])[CH2:10]1.[OH:18][H:19]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[OH:18].[N:8]1([H:19])[CH2:9][CH2:11][CH2:12][CH:13]([O:14][C:15]([NH2:16])=[O:17])[CH2:10]1,2.55,15.50,15.67,18.22,15.67,Success
70,11838,[CH2:1]1[CH2:2][N:4]([H:5])[CH2:6][CH2:7][NH:3]1.[CH3:8][C:9]([CH3:10])([CH3:11])[O:12][C:13](=[O:14])[O:15][C:16](=[O:17])[O:18][C:19]([CH3:20])([CH3:21])[CH3:22]>>[CH2:1]1[CH2:2][N:4]([C:13]([O:12][C:9]([CH3:8])([CH3:10])[CH3:11])=[O:14])[CH2:6][CH2:7][NH:3]1.[H:5][O:15][C:16](=[O:17])[O:18][C:19]([CH3:20])([CH3:21])[CH3:22],-144.32,420.28,14.42,420.28,564.60,Success
66,36662,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH:9]1[CH2:10][CH2:12][N:13]([CH2:14][CH:16]2[CH2:17][CH2:19][CH2:20][N:21]3[CH:18]2[CH2:25][CH2:24][CH2:23][CH2:22]3)[CH2:15][CH2:11]1.[OH:26][H:27]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[OH:26].[NH:8]([CH:9]1[CH2:10][CH2:12][N:13]([CH2:14][CH:16]2[CH2:17][CH2:19][CH2:20][N:21]3[CH:18]2[CH2:25][CH2:24][CH2:23][CH2:22]3)[CH2:15][CH2:11]1)[H:27],-1.45,289.90,380.43,289.90,291.35,Success
74,15509,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:8][cH:9][c:10]([CH2:11][O:12][N:13]=[C:14]2[CH2:15][CH2:17][N:18]([S:19](=[O:21])(=[O:22])[c:23]3[cH:24][cH:26][c:27]([O:28][C:30]([F:31])([F:32])[F:33])[cH:29][cH:25]3)[CH2:20][CH2:16]2)[cH:7]1.[OH:34][H:35]>>[C:3](=[O:4])([c:5]1[cH:6][cH:8][cH:9][c:10]([CH2:11][O:12][N:13]=[C:14]2[CH2:15][CH2:17][N:18]([S:19](=[O:21])(=[O:22])[c:23]3[cH:24][cH:26][c:27]([O:28][C:30]([F:31])([F:32])[F:33])[cH:29][cH:25]3)[CH2:20][CH2:16]2)[cH:7]1)[OH:34].[CH3:1][O:2][H:35],-0.35,0.00,0.00,0.00,0.35,Success
49,37175,[NH2:1][C:2](=[N:3][N+:5](=[O:6])[O-:7])[NH:4][CH2:8][CH2:9][CH2:10][CH:11]([NH:12][C:14](=[O:15])[O:16][CH2:17][c:18]1[cH:19][cH:21][c:22]2[cH:23][cH:25][cH:26][cH:27][c:24]2[cH:20]1)[C:13](=[O:28])[OH:29].[NH:30]([CH2:31][c:33]1[cH:34][cH:36][c:37]([CH2:38][NH:40][C:41]([NH2:42])=[O:43])[cH:39][cH:35]1)[H:32]>>[NH2:1][C:2](=[N:3][N+:5](=[O:6])[O-:7])[NH:4][CH2:8][CH2:9][CH2:10][CH:11]([NH:12][C:14](=[O:15])[O:16][CH2:17][c:18]1[cH:19][cH:21][c:22]2[cH:23][cH:25][cH:26][cH:27][c:24]2[cH:20]1)[C:13](=[O:28])[NH:30][CH2:31][c:33]1[cH:34][cH:36][c:37]([CH2:38][NH:40][C:41]([NH2:42])=[O:43])[cH:39][cH:35]1.[OH:29][H:32],-20.85,37.82,34.49,37.82,58.67,Success
67,17078,[CH3:1][O:2][CH2:3][CH2:4][CH2:5][N:6]1[CH2:7][CH2:9][O:10][c:11]2[c:8]1[cH:16][c:14]([CH2:15][O:17][CH:18]1[CH2:19][N:21]([S:22](=[O:24])(=[O:25])[c:26]3[cH:27][cH:29][c:30]([CH3:31])[cH:32][cH:28]3)[CH2:23][CH:33]([CH2:34][OH:35])[CH:20]1[c:36]1[cH:37][cH:39][c:40]([O:41][CH3:43])[cH:42][cH:38]1)[cH:13][cH:12]2.[I:44][H:45]>>[CH3:1][O:2][CH2:3][CH2:4][CH2:5][N:6]1[CH2:7][CH2:9][O:10][c:11]2[c:8]1[cH:16][c:14]([CH2:15][O:17][CH:18]1[CH2:19][N:21]([S:22](=[O:24])(=[O:25])[c:26]3[cH:27][cH:29][c:30]([CH3:31])[cH:32][cH:28]3)[CH2:23][CH:33]([CH2:34][OH:35])[CH:20]1[c:36]1[cH:37][cH:39][c:40]([O:41][H:45])[cH:42][cH:38]1)[cH:13][cH:12]2.[CH3:43][I:44],6.75,0.00,0.00,6.75,0.00,Success
71,3040,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]1[CH:7]2[CH:8]1[CH2:13][CH:11]([C:12]([CH3:14])([CH3:15])[CH3:16])[CH2:10][CH2:9]2.[OH:17][H:18]>>[C:4](=[O:5])([CH:6]1[CH:7]2[CH:8]1[CH2:13][CH:11]([C:12]([CH3:14])([CH3:15])[CH3:16])[CH2:10][CH2:9]2)[OH:17].[CH3:1][CH2:2][O:3][H:18],53.76,22.33,33.59,87.35,33.59,Success
76,7009,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:11][N:12]([C:13](=[O:15])[S:16][CH2:17][c:18]2[cH:19][cH:21][c:22]([O:23][CH2:25][c:26]3[cH:27][cH:29][c:30]([F:31])[cH:32][cH:28]3)[cH:24][cH:20]2)[CH2:14][CH2:10]1.[OH:33][H:34]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[OH:33].[N:8]1([H:34])[CH2:9][CH2:11][N:12]([C:13](=[O:15])[S:16][CH2:17][c:18]2[cH:19][cH:21][c:22]([O:23][CH2:25][c:26]3[cH:27][cH:29][c:30]([F:31])[cH:32][cH:28]3)[cH:24][cH:20]2)[CH2:14][CH2:10]1,5.56,0.00,0.00,5.56,0.00,Success
73,29081,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][CH2:10][C:11]1=[CH:12][CH:14]([C:15]([NH2:17])=[O:18])[N:16]2[CH2:19][CH:13]1[N:21]([O:22][S:23](=[O:24])(=[O:25])[OH:26])[C:20]2=[O:27].[OH:28][H:29]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[OH:28].[NH:8]([CH2:9][CH2:10][C:11]1=[CH:12][CH:14]([C:15]([NH2:17])=[O:18])[N:16]2[CH2:19][CH:13]1[N:21]([O:22][S:23](=[O:24])(=[O:25])[OH:26])[C:20]2=[O:27])[H:29],10.65,45.51,20.66,31.31,20.66,Success
